,FamilyName,FamilyNameDescription,GeneralGenusAndDescription,Genus,Epithet,LebanonLocations,SyrianLocations
10,RANUNCULACEAE,"Plantes ordinairement herbacées, rarement ligneuses. Feuilles non stipulées, leplus souvent divisées ou découpées. Fleurs solitaires ou en inflorescence indétermi-née, pourvues ou non de deux enveloppes florales. Sépales souvent pétaloïdes.Pétales ordinairement pourvus de nectaires, Fleurs actinomorphes ou zygomorphes.Étamines libres, ordinairement très nsrnbreuses et en nombre indéterminé. Anthèresordinairement extrorses. Carpelles rarement isolés, souvent nombreux et en nombreindéterminé. Ovules bisériés sur la suture centrale, ou un seul à la base de l'ovaire.Fruits constitués par des akènes ou des follicules, rarement bacciformes.",0,0,0,0,0
11,0,0,0,Helleborus,vesicarius,0,0
12,0,0,0,0,0,0,"S. Mm. Au-dessus de Slenfé, en abondance (JL Dlb, Sam, Pb, Nahal, Mt). NLatt. Au-dessus de Kessab (P)."
13,0,0,"NIGELLA L. — Plantes annuelles, à feuilles finement laciniées. Fleurs ter-minales, solitaires. Sépales 5, ordinairement onguiculés (sauf sous-genre Garidella),pétaloïdes. Pétales toujours onguiculés^ nectarifères, bilabiés, à lèvre inférieurebifide en deux lanières courtes ou relativement longues. Carpelles 2-14 concrescentsplus ou moins longuement, pluriovulés» Étamines à anthères apiculées par unprolongement du connectif, plus ou moins longuement. Fruits constitués par desfollicules prolongés par un rostre très court ou presque nul dans le sous-genreGaridella, long et plus ou moins fortement innervé dans le reste du genre. Corpsdu follicule parfois dilaté ou au contraire comprimé. Déhiscence au sommet, surla suture ventrale.",0,0,0,0
14,0,0,0,Nigella,imguicularis,0,0
15,0,0,0,0,0,"L. Ct. Saida (Bl, Pb), Beyrouth (P, Vt), Hadeth (Np), Nahr Beyrouth (Mt). Mi. Jamhoûr(Mt). Mm. Qnnoubine (Bl). Met. Bords du Bardaouni (JL), Zahlé (P), Qabbélias (Mt), en dessousde Soultan Ya'qoub (P£>). Herm. Rachaya (Aar).",0
16,0,0,0,Nigella,arvensis,0,0
17,0,0,0,0,0,"L. Ctlitt. Tyr (Mt), Saïda (Bl), Nebï Aoùza'i, Bir Hassen (Mt), Beyrouth (Bl, Vt, P, Np),Tripoli (Bl, P), Qleyya (Ft). Ct. Dékouané (Mt)..",0
18,0,0,0,0,0,L. Sy. Talia (Mt). St. Sources de l'Oronte (Mt)-,0
19,0,0,0,0,0,"L. Mi. Broummana (Cramer, Peyron). Met. Haouch (Mt). Ve. Charbine vers Hermel (Mt).St. Ras Baalbeck à Hermel (Mt). A.L. Ouadi-el-Harir (Peyron, Pb).",0
20,0,0,0,Nigella,assyriaca,0,0
21,0,0,0,0,0,0,"S. H.J. Lac Khatouniyé, Hassetché, 30 km. S. de Tell 'Alo (Pb). St. Lac Jabboul, Meskène(JL), Soukhné à Deir-ez-Zor (Dlb). Dam. Jab. Dmeir, Damas (Pb). A.L. Jerijir (Eig, Zoh, Feinb).H.J. W. de Tissiyé (Pb), Tell Hadid (Mt), Tell Chihane (E, Z, Mt).Espèce bien proche de deserti et d'arvensis et, semble-t-il, tenue par certains pour non distincted'arvensis, var. caudala. Les spécimens-types de l'Herbier Boissier, absents durant l'été 1967, n'ontpu être étudiés, et le temps a manqué aussi pour examiner le matériel des collections de PABOTet du Frère JOSEPH LOUIS."
22,0,0,0,Nigella,stellaris,0,0
23,0,0,0,0,0,0,S. Ct. Lattaquié (P). NLatt. Base du Cassius vers Kessab (Boiss.).
24,0,0,0,0,0,0,S. Dam. Jeramana dans la Ghouta (Pb). Sy. Alep (JL).Ces deux récoltes probablement d'origine subspontanée.
25,0,0,0,Nigella,orientalis,0,0
26,0,0,0,0,0,0,S. Sy. Azz.z (JL).
27,0,0,0,Nigella,latisecta,0,0
28,0,0,0,0,0,L. Herm. Entre Masna'a et Rachaya (Pb).,0
29,0,0,0,Nigella,oxypetala,0,0
30,0,0,0,0,0,L. Mm. Entre Ehden et les Cèdres (Mt).' Sy. Baalbeck (Mt) ?,0
31,0,0,0,Nigella,ciliaris,0,0
32,0,0,0,0,0,"L. Ct. Est de Tyr (Gaill), 3 km. N. de Tyr (Mt), 'Adloun (Mtj, E. de Saïda (BI), Beyrouth(P, Vfc, Np), Jbail (Mt), Tripoli (Bl). Mi. 'Asfouriyé (Sam), Fayadiyé, Deir Tamiche (Mt), Ghazir(Vt). Mm. Ehden (Mt), Bcharré (Bl). Met. Ta'naïl (Mt). 'Akkar. Menges (Mt).",0
33,0,0,0,0,0,"L. Ct,Mi. Kaftine (P), 'Asfouriyé (Mt), Tourzaya (Pb).",0
34,0,0,"DELPHINIUM L. — Plantes annuelles, bisannuelles ou vivaces. Fleurszygomorphes, portées -par des grappes. Feuilles alternes, à nervulation palmée,plus ou moins profondément divisées. Périanthe formé de sépales pétaloides, aunombre de 5, caducs, le postérieur prolongé en éperon. Pétales 4, en 2 paires dis-semblables, la plus élevée prolongée par deux éperons nectarifères inclus dans l'épe-ron du sépale postérieur, les deux autres constituant des staminodes appelés aussipétales latéraux. Étamines en 8 séries spiralées. Follicules multiples 3, parfois 5.",0,0,0,0
35,0,0,0,Delphinium,halteratum,0,0
36,0,0,0,0,0,0,"S. Sm. Point culminant de la chaîne alaouite, au signal de Rouadi, en floraison au débutde juillet."
37,0,0,0,0,0,0,"S. J.D. Soueida, mai 1942 (Mt)."
38,0,0,0,Delphinium,peregrinum,0,0
39,0,0,0,0,0,"L. Ct. Beyrouth (Gaill, Vt, Np, Mt), Nahr-el-Kelb (Mt), Tripoli (Bl). Mi. 'Abey, Kfar14 NOUVELLE FLORE'Aqab (P). Mm. Sofar (Pr), Bazoun (Bl, trans, eriocărpum), 'Aqoura, Harajel (J.L.), Faraya (Mt),Hasroun, vers Ehden (Bl), 'Aïn Dara (Np). Met. Zahlé (Mt). Hem. 'Aïn 'Ata (Aar).",0
40,0,0,0,Delphinium,virgatum,0,0
41,0,0,0,0,0,0,"S. Sy. Entre Antioche et Alep (Boiss.)). Dam. Damas (Gaill.). A.L. Qaldoun (P), Ma'loula,Hile (Mt), Yabroud (Pb). Herm. Qala'at Jendel (Gaill). Haut. -Exxï* (Pb), N. de Cheikh Mes-kine (Sam). St. Jab. Dmeir (Pb)."
42,0,0,0,Delphinium,macrostachyum,0,0
43,0,0,0,0,0,0,"S. Sy. Qala'at Sema'an, dans les ruines, juillet 1956 (Pb), Il-Barra (également dans des ruines(Mt)."
44,0,0,0,Delphinium,ithaburense,0,0
45,0,0,0,0,0,"L. Mm. Hasroun (Bl), Hadeth (Sam), Cèdres de Tannourine (Mt), Kafr Hail au-dessus deTripoli (Vt). Sy. Baalbeck (Fahlgruber dans Herbier Barbey-Boissier).",0
46,0,0,0,0,0,0,"S. J.D. Tell Ahmar, Salé (Mt)."
47,0,0,0,Delphinium,kurdicum,0,0
48,0,0,0,0,0,0,"S. K.D. Kutchuk Darmik, 1er juillet 1955 (Pb)."
49,0,0,0,Delphinium,staphisagria,0,0
50,0,0,0,0,0,"L. Ct. Nahr Ibrahim, un peu au-dessus de l'aqueduc (JL, Mt, Pb, Np), Sarba et Ghadirprès de Jounié (Sam, Mt), Rachein près Zghorta (Bl).",0
51,0,0,0,Consolida,axilliflora,0,0
52,0,0,0,0,0,"L. Met. Rayak (Pb), Ferme A.U.B. (Edg). Sy. Baalbeck, Chlifa, Boudai (Bl), Yaat (Sam).",0
53,0,0,0,0,0,"L. Met. Cultures de la Beqa'a (Boiss, Gaill), Ta'naïl, Sa'id Neil, Barr Elias (Mt), Masna'a(Gaill). Herm. Kafr Kuk (Gaill).Non précisé: 'Herm. Rachaya, Deir-el-'Achair (Letourneux, Berton).",0
54,0,0,0,Consolida,gombaultii,0,0
55,0,0,0,0,0,0,"S. J.D. Djebel Druze (Gb), Soueida, Chahba (Mt)."
56,0,0,0,Consolida,ambigua,0,0
57,0,0,0,0,0,"L. Ct. Beyrouth (Mt, Np), Nahr-el-Mott (Mt).",0
58,0,0,0,Consolida,orientalis,0,0
59,0,0,0,0,0,0,"S. Dam. Jab. Qasyoun (Mt). A.L. Qaldoun (P), Yabroud (Pb). H.J. 20 km. S. de Qa-mechliyé (Mt), N. du Radd (Pb).-"
60,0,0,0,Consolida,rugulosa,0,0
61,0,0,0,0,0,0,S.
62,0,0,0,0,0,0,"S. de Ras-el-'Aïn, Khatouniyé à Tell Kotchek, Ras-el-'Aïn, Ras-el-'Aïn à Tell Abiad (Pb)."
63,0,0,0,Consolida,deserti-syriaci,0,0
64,0,0,0,0,0,0,S.
65,0,0,0,Consolida,oliveriana,0,0
66,0,0,0,0,0,0,"S. H.J. Khatouniyé à Sinjar, El-'Abed à Gharra (Hd-Mz, sous pusillum), Lac Khatouniyé,W. de Ras-el-'Aïn, E. de Qamechliyé, Tell 'Alo (Pb)."
67,0,0,0,0,0,"L. ou S. Syrie (Lab, Auch).",0
68,0,0,0,0,0,"L. Ct. Zahrani (Mt, Pb), Saïda (Bl, Gaill), Khaîdé (Mt), Beyrouth et environs (Bl, Gaill,Vt, P, Mt), Ras Chekka (JL), Majdalaya, Terbol (Bl). Mi. Grès ferrugineux au-dessus de Saïda(Bl), 'Abey,-Chemlan (Bl), 'Asfouriyé (Mt), Qrayé (Np), Deir-el-Qamar (JL), Douma (P).Met. Vers Chtaûra (Vt), Qa'a-er-Rine (Lt), Zahlé (JL), Ibl-es-Saki (P). A.L. Ouadi-el-Harir(Pb). Hem. Rachaya (Boiss, Gaill), Maşna'a à Rachaya (Pb).",0
69,0,0,0,Consolida,flava,0,0
70,0,0,0,0,0,0,"S. H.J. Sud de Hassetché, E. de Demir Qapou, 25 km. S. de Tell 'Alo (Pb). Sy. Lac Jab-boul (Pb). A.L. Yabroud (Pb). St. 'Aïn-el-Beida, Jaba'a-'Aïn-el-Beida (P). Palmyre (P, Mt),Forklos (Mt), Abou Chamate (Gb), 'Adra, Dmeir, 58 km. de Deir-ez-Zor, Jouaif, Er-Raouda (Pb)."
71,0,0,0,Consolida,pusilla,0,0
72,0,0,0,0,0,L. ou S. Base de,0
73,0,0,0,0,0,"L. Ve. Yammouné (P). Sy, St. Fakiyé, Ras Baalbeck, Sources de TOronte (Mt), Baalbeckà Deir-el-Ahmar (Bnm).",0
74,0,0,0,Consolida,hellespontica,0,0
75,0,0,0,0,0,0,"S. Sy. Environs d'Alep, mai 1841 (Ky, récolte citée par BOISSIER pour tomentosum)."
76,0,0,0,Consolida,tomentosa,0,0
77,0,0,0,0,0,0,"S. Sy. Environs d'Alep (Aucher), d° (Ky, Montbret, JL). H.J. Ouadi desséché au sud duLac Khatouniyé, Jab. 'Abd-el-'Aziz, SW. de Tell 'Alo, Hassetché à Derbassié (Pb). St. Jab.Bilas (Pb), vers Palmyre (Advenier)."
78,0,0,0,Consolida,coelesyriaca,0,0
79,0,0,0,0,0,"L. Met. Beqa'a, à l'est de Zahlé (Mt), bords du Zaïr (Pr), plaine de la Beqa'a (Bl). Sy. Baal-beck (Letourneux, Np>, Baalbeck à Ras Baalbeck (Bl), Baalbeck à Cha'ate (Shaad) (P). Hem.Vers Rachaya (Aar), Deir-el-'Achaïr (Letourneux).",0
80,0,0,0,Consolida,sclerocladà,0,0
81,0,0,0,Consolida,hohenackeri,0,0
82,0,0,0,0,0,"L. ou S. Syrie (Pinard, dans Herbier de Kew).",0
83,0,0,0,0,0,"L. Mm..Vers Ehden (Boiss), Hasroun (Bl), entre Ehmej et Laqlouq (Mt, Pb).",0
84,0,0,"ANEMONE L. — Plantes vivaces, à rhizomes. Tige uniflore ou parfoisrameuse et pluriflore. Feuilles basales plus ou moins incisées, les caulinaires réduitesà un involucre formé de 3 feuilles verticillées, sessiles, le tout plus ou moins distantde la fleur. Fleur terminale à 4-20 sépales pétaloïdes. Carpelles plus ou moins nom-breux, uniovulés. Akènes rostres par le style persistant ou accrescent, nu ou villeux.",0,0,0,0
85,0,0,0,Anemone,coronaria,0,0
86,0,0,0,0,0,"L. Ct. Partout ou presque. Saïda (Bl, Gaill), Beyrouth (P, Vt, Np), Nahr-el-Kelb (Mt, unspécimen rose), Kaftine près Tripoli (P). Mi. 'Aley (P), Bkerké, à fleurs roses (Niklès),NOUVELLE FLORE 29Mansouriyé, Deir Tamiche (Mt). Mm. Hasroun (Bl). Met. Zahlé (P, Mt, Pb), Ta'naïl (Mt).",0
87,0,0,0,0,0,"L. Ct. Très abondant. Saïda (Pb), Ras Jedra (Mt), Khaldé (Mt, Pb), Beyrouth (P, Vt, Mt,Pb, Np), Nahr-el-Kelb (Mt), Tripoli (Bl). Mi. Sous Beit Méri, Besallim (Mt), Bhannès, au-dessusde Ma'meltein, Harissa (Mt), route de Qartaba (Pb).",0
88,0,0,0,0,0,"L. Ct. Saint-Élie, un pied isolé (Mt). Ct et Mi. Kesrouan, assez fréquent. Jounié (Mt, Pb),Zoukh Mikhayel (Np), Ghosta, Ghazir, Ghebalé (Mt).Var. alba:",0
89,0,0,0,Anemone,blânda,0,0
90,0,0,0,0,0,"L. Mi. Bikfaya (Vt, Mt), Lahfed (P), Ghazir à Mayrouba (Vt). Mm. Jab. Barouk (JL),Sofar (Np), Kneissé (Gb), Cèdres de 'Aïn Zehalta (Mt), Dahr-el-Baidar (Mt, Pb), Hasroun, Coldes Cèdres, Ehden, Ehden à Sir (Bl), Les Cèdres (Bl, Vt, Alonzo, Dinsm, Wall), Fnaideq (Pb),Qamou'a (Mt), montagne de 'Akkar (Bl). Ve. 'Aïnata (Bl).",0
91,0,0,"CERATOCEPHALUS Pers. — Plantes naines, à feuilles découpées en la-nières et tiges florifères courtes ou nulles. Sépales et pétales 5, ces derniers munisà la base d'une écaille nectarifère. Akène entouré par deux excroissances stérileset prolongé par un bec très long, ascendant, plus ou moins incurvé.",0,0,0,0
92,0,0,0,0,0,"L. Ct. (exceptionnel). Zalkha près Jall-ed-Dib (incurvus et leiocarpus). Mm. Mdeirje (Bl, Sam),Dahr-el-Beidar (Mt). Met. Ta'naïl, Ksara (Mt), Zahlé (Vt), Joub Jenin (Bl). Herm. Rachaya(Pb). Sy. Baalbeck (Alonzo, Np, Mt, Pb), Ras Baalbeck (P).",0
93,0,0,"MYOSURUS L. — Plantes naines, à feuilles en rosette, à tiges florifèresuniflores, naissant au milieu de la rosette, aphylles. Fleurs très petites, herma-phrodites. Sépales 5, pétaloïdes, prolongés en éperon à la base. Pétales 5, pluscourts que les sépales, à onglet tubuleux, nectarifère. Limbe étroit. Étamines ordi-nairement 5-18. Carpelles nombreux, en spirale, sur un réceptacle cylindrique,accrescent en fruit. Akènes en faux épi très dense.",0,0,0,0
94,0,0,0,Myosurus,minimus,0,0
95,0,0,0,0,0,"L. Mm. Jab. Barouk (Thiéb.), Jabal Zahrour (Np).",0
96,0,0,"FI CARIA Adanson. — Plantes vivaces à racines tubérisées. Sépales 3. Pé-tales (6) 8-12, à fossette nectarifère pourvue d'une écaille. Akènes non rostres nicomprimés. Stigmate sessile.",0,0,0,0
97,0,0,0,0,0,"L. Ct. Saïda (Bl, Gaill), Beyrouth (Mt, Np), Jounié (Pb), Tripoli (Bl, P). Mi. Qrayé (Np),*Ghazir, Dlepta (Mt), Lahfed (P). Me. Jabal Cha'ara au-dessus de Zahlé vers 2000 m. (Mt). Ve.Vers Hosn Niha (Mt), Zahlé (Vt, P). Sy. Baalbeck (P).",0
98,0,0,0,Ficaria,ficarioides,0,0
99,0,0,0,0,0,"L. Mi. Ra'chine (Kesrouan) (Mt). Mm. Cèdres de Barouk (Pb), Cèdres de 'Aïn Zehalta(Mt), Col de Zàhlé (Mt, Pb), Moukhada près Laqlouq (Pb), Jabal Foughry au-dessus de Douma(P), Forêt d'Ehden jusque vers 2000 m. (Bl, Mt), Les Cèdres (Sam), Jab. Qamou'a (Pb).",0
100,0,0,"RANUNCULUS L. — Plantes vivaces ou annuelles. Feuilles rarement en-tières, plus ou moins divisées. Fleurs hermaphrodites, solitaires ou en paniculeslâches, régulières. Réceptacle subglobuleux, ovoïde ou subcylindrique. Sépales 5,caducs. Pétales 5 (10), libres, pourvus à la base d'une fossette nectarifère, nue oucouverte d'une petite écaille. Etamines ordinairement nombreuses. Carpelles nom-breux uniovulés, à style plus ou moins court.. Akènes en têtes globuleuses ou en épi,apiculés ou rostres par le style persistant.",0,0,0,0
101,0,0,0,Ranunculus,sphaerospermus,0,0
102,0,0,0,0,0,"L. Ct. Tripoli-Marine (Bl, typus). Ve. Lac Yammouné (P, Vt, Mt, Pb). Met. Plaine de laBeqa'a passim, Zaïr (Vt), Zahlé (P, JL), Ta'naïl (Vt, Mt), 'Ammiq (Mt). Sy. Baalbeck, Boudai(Bl), Ras Baalbeck (P).",0
103,0,0,0,0,0,0,"S. J.D. Tell Qpuleib (Mt). Autres récoltes, mêlées à la variété similaire de R. trichophyllus?"
104,0,0,0,Ranunculus,trichophyllus,0,0
105,0,0,0,0,0,"L. Ctlitt. Nahr Ghadir, avant l'aéroport (Mt). Mm. Nahr Safa (Pb).",0
106,0,0,0,0,0,0,"S. W. de Homs. Khirbet-et-Tine (Mt), Tell Kalakh-Homs (Pb). Haur. Tayyibé (P), Qneitra(Pb). J.D. Qanaouat (Mt), Soueidat Salé (Sam)."
107,0,0,0,Ranunculus,orbiculatus,0,0
108,0,0,0,0,0,"L. Mi-Mm. Ruines de Qala'at-el-Fakhra (Bl, récolte originale), Mayrouba (Gb), Faraya sousle Pont Naturel (Np, Kéchichian, 1965), Jourd Hasroun (Bl).",0
109,0,0,0,Ranunculus,myosuroides,0,0
110,0,0,0,0,0,"L. Mm. Col près du Jabal Zahrour (Np), Cèdres, Jourd Hasroun (Bl). Me. Jab. Sannin>Caracol Metiouhane (Mt), au-dessus des Cèdres (Vt, Sam), Col des Cèdres (Bl, Hartmann).",0
111,0,0,0,Ranunculus,macrorhynchus,0,0
112,0,0,0,0,0,0,"S. H.J. Jabal 'Abd-el-'Aziz (Gb), sud de Deirik (Pb). Sy. Jabal Saouane au sud de Nebq,sur silex (Mt), est de Sélimiyé (Pb), Euphrate (JL). J.D. Salé, Chahba (Mt)."
113,0,0,0,Ranunculus,oxyspermus,0,0
114,0,0,0,0,0,0,"S.. H.J. Jabal 'Abd-el-'Aziz (Gb, Mt).Par leur port et leur forte pilosité, les spécimens de ces deux récoltes font penser à R. argyreus,mais ils s'en séparent par leurs racines tubérifiées plus courtes et surtout leurs carpelles glabres."
115,0,0,0,Ranunculus,damascenus,0,0
116,0,0,0,0,0,"L. Mm. Afqa (Np). Met. Rayak (Np), Qabbélias (P), Zellaya-Yohmor (Sam). Sy. Baal-beck (P). Herm. Hermon (Mt). A.L. Ouadi-el-Harir (Bl).",0
117,0,0,0,0,0,0,"S. A.L. Ouadi-el-O_arn (Pb), Souq-Ouadi-Barada (Wall, Pb). Dam. Damas à Mezzé, entreQadem et 'Achrafiyé (Gaill, récoltes originales), Jabal Qasyoun (Mt, à calices étalés), Douma,Daraiya (Pb). Mm. Nebi Younès (Reese), Slenfé (Sam, Pb). Sy. Alep (Ky, Hkn, P), Ouroum-es-Soughra (Pb), Braij (Sam), Abou Dali-'Afir (Sam). Haur. Kissoué, Sanamein (Pb). J.D. Er-Raha, Chahba (Mt), Soueida-Sâlé (Wall), Kafer (Hafstr). St. Meskène (Wall), Euphrate (JL)."
118,0,0,0,Ranunculus,cuneatus,0,0
119,0,0,0,0,0,"L. Mm. Jabal Barouk (Hartmann), Ma'asser (BI, P), Dahr-el-Baidar (Mt), Moukhada (P),'Ain Geddaié (Bl), Cèdres de Hadeth (Bl), Les Cèdres (Bl, Vt), Berkacha, Hasrpun, Ehden (Bl).Ve. 'Aïnata (Bl), sud de 'Aïnata (Pb), au-dessus de Zahlé (Pb). Met. Zahlé (Mt). A.L. Masna'a (Bl).",0
120,0,0,0,Ranunculus,asiaticus,0,0
121,0,0,0,0,0,"L. Ct. Partout. Saïda (Gaill, Bl), Khaldé (Mt), Beyrouth (Gaill, P, Vt, Np, Mt), Nahr-el-Kelb, Nahr Ibrahim (Mt), Tripoli (Bl, P). Mi. Commun. 'Abey (P), 'Aley (P, Wall, Hafstr, Pb),Dar-es-Salib (Mt), Ba'abda (Pb), Rayfoun (Sam). Mm. Sannine (Vt), Machghara à Jezzin (Pb).Met. Zahlé (P, JL), Beqa'a (P). Sud. Marjayyoun (P). Hem. SW. de Rachaya, Nahr Hasbani (Pb).",0
122,0,0,0,Ranunculus,paludosus,0,0
123,0,0,0,0,0,"L. Ct. Tripoli (Bl, P). Mi. Beit Méri (P, Mt), 'Araya (Mt), Qràyé, Yahchouche (Np), Chah-toul (Mt, Pb), Bikfaya (Bl, Vt), Ghazir (Vt), 'Abey (P), Jezzine (Pb). Hem. Nahr Hasbani (Pb),Rachaya (Gaill), Hasbaya (P). Met. Machghara (Pb), Zahlé (P), Ksara (Mt).",0
124,0,0,0,Ranunculus,millefoliatus,0,0
125,0,0,0,0,0,"L. Mi. Col entre Jezzine et Machghara (Pb), 'Abey (P, Bl), 'Azouniyé vers le Nahr Safa,Falougha, Machnaqa, Afqa (Mt).40 NOUVELLE FLORE",0
126,0,0,0,Ranunculus,millefolius,0,0
127,0,0,0,0,0,0,"S. Mm. Nebi Younès, Slenfé (Wall), Jâoubat Bourghal (Pb). NLatt. Kessab (Pb). H.J.Haute Jéziré (Wetzel), vers Ras-el-'Aïn (Mt). K.D. Kurd Dagh (JL). Sy. Alep (Russell, Mont-bret, Ky, Hkn, P, JL), Hailane (JL), Eriha (JL), Abou Dali à 'Anr (Sam), Khan Cheikhoun àMa'aret-en-No'man (Sam)."
128,0,0,0,0,0,"L. Ci. Tripoli (Bl), vers Beyrouth (Gaill). Mi. Jamhour, Broummana, Machnaqa, Ras-el-Kifa vers Tripoli (Mt), 'Aramoun (Vt), Jab. Terbol (Pb), Cheikh Mohammed (P), Qrayé (Np),Rayfoun (Sam). Sud. Nabatiyé (Mt). Mm. Roueissat (Bl), Mdeireje (Gaill), Dahr-el-Baidar(Sam), Neba'-l-Hadid, Sannine (Vt). Bcharré, Hadeth, Hadchite, Sofar, Ehden, Hasroun (Bl).Met. Ksara (Mt), Zahlé (JL). Herm. Route de Yantha, SW. de Rachaya, NE. de Hasbani (Pb).Sud. Ibl-es-Saki (P).",0
129,0,0,0,Ranunculus,neapolitanus,0,0
130,0,0,0,0,0,"L. Ci. Hadeth, Dora (Np, Mt). Mi. Ghosta (Pb), 'Aramoun (Mt), Jezzine (P), Bzoummar(Bl), Mayrouba, Faraya (Wall), Roueissat (Bl). Mm. Neba'-l-'Assal, Beskinta, KhanSannine (Mt).Met. Chtaura (Bl), vers Kefraya (Mt),",0
131,0,0,0,Ranunculus,constantinopolitanus,0,0
132,0,0,0,0,0,"L. Mm. Roueissat, Mdeireje, Jourd Hasroun, Bqerqacha (Bl), Cèdres de Hadeth (P), Jab.Kneissé (Sam, Mt), Khan Sânnine (Mt), Machgharah à Jezzine (Pb), Laqlouq (Np, Pb), W. duJ. Kneissé (Pb). 'Akkar. Montagne du 'Akkar, Bouqaia (Bl). Ve. 'Ainata (Hafstr). Met. Ta'naïl(Vt), Barr Elias (Mt), Rayak (Pb), ZahléQL). Herm. Hasbaya (P).",0
133,0,0,0,Ranunculus,schweinfurthii,0,0
